No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
292,Neopuff,Fisher and Paykel,RD900AEU,SN 090901002849,2009,1,Irna Perinatology,BAIK
293,Pulse Oximetri,One Med,Bionet,SN O2A4ENA0061,2023,1,Irna Perinatology,
294,Pulse Oximetri ,One Med,Bionet,SN ENAA0038,2023,1,Irna Perinatology,PULSE OXY BAIK 4
295,Pulse Oximetri  + Charger,Advanced,PO-100B,SN 261999-M21902290001,2022,1,Irna Perinatology,
296,Regulator O2,-,-,-,,5,Irna Perinatology,BAIK
297,Regulator oksigen central,RMS,-,-,,5,Irna Perinatology,BAIK
298,Resusitasi Flow / Neopuff,Resusci Flow,Rail Mounting,SN 220100255,2022,1,Irna Perinatology,BAIK
299,Stetoscope,Erka,Infant,-,,2,Irna Perinatology,TIDAK DI KALIBRASI
300,Stetoscope,ABN,Infant,-,,1,Irna Perinatology,TIDAK DI KALIBRASI
301,Suction Mobile,Atmos,-,SN 007408006500065,2009,1,Irna Perinatology,BAIK
302,Suction Pump,Tecno Gaz,Tecno 40,SN B15641008,2008,1,Irna Perinatology,BAIK
303,Suction Pump,Gabler,FSE 500,SN 7980.05.07,2007,1,Irna Perinatology,BAIK
304,Suction Pump,Sani,SN703A-D,SN SANM094-23-006,2023,1,Irna Perinatology,BAIK
305,Syiringe Pump,Fresenius Kabi,Injectomat-Agilia is,SN 018090/20402518,2014,1,Irna Perinatology,BAIK
306,Termometer Digital,Microlife,Forhead,-,,2,Irna Perinatology,TIDAK DI KALIBRASI
307,Termometer Digital,Microlife,FS 300,-,,1,Irna Perinatology,TIDAK DI KALIBRASI
308,Termometer Manual/ air raksa,Safety,-,-,,1,Irna Perinatology,TIDAK DI KALIBRASI
309,Tiang infus roda,Mak,-,-,,5,Irna Perinatology,TIDAK DI KALIBRASI
310,Timbangan Bayi,Elitech,-,SN TD314BA0828,2018,1,Irna Perinatology,BAIK
311,Timbangan Bayi,Seca,-,SN 10000000306941,2019,1,Irna Perinatology,BAIK
312,Timbangan Bayi,Seca,-,SN 3541317009,2011,1,Irna Perinatology,Punya IGD
313,Umbilikal Set,-,-,-,,3,Irna Perinatology,TIDAK DI KALIBRASI
314,Centrifuge,Eppendorf,,SN 5702HI945670,-,2,Laboratorium,BAIK
315,Centrifuge,,,SN 5702HI145631,,,Laboratorium,
316,Elektrolit,MK-Cell,,BE060289,,,Laboratorium,
317,Hematologi,Swelab Alpa,-,SN-17099,,,Laboratorium,
318,Hematologi,Mindray,BC5130,SN TR-43009330,,,Laboratorium,
319,Hematologi,Sysmex ,XN 330,SN 11855,,,Laboratorium,
320,Hemostatis,Solea 100,,SN 0180060D-0006,,,Laboratorium,
321,Imunologi,I-Chroma II,,IR2RF114013,,,Laboratorium,
322,Kimia Klinik,Mindray,BS230,SN YY-9001408,,,Laboratorium,
323,Kimia Klinik,Biosystem,BA 200,SN 832000268,,,Laboratorium,
324,Mikro Pipet,,,,,,Laboratorium,
325,Mikroskop,Olimpus,,SN N1700500H0280SE,,,Laboratorium,BAIK
326,POCT,Glukosa,,,,,Laboratorium,
327,POCT ,I-STAT,,SN(21)420543,,,Laboratorium,
328,Rotator,,,,,,Laboratorium,
329,Water Bath,,,"SN 03,3217",,,Laboratorium,
330,Treadmill ,,,,,1,MCU,BAIK
331,Anasthesi Ventilasi,,,,,1,OK,Rusak
332,Anasthesi Ventilator,GE Datex Ohmeda,s/s,ANBN0134,2010,1,OK,Rusak
333,Anasthesi Ventilator,Penlon,Prima 400,460/017-0009,2013,1,OK,Baik
334,Anasthesi Ventilator,Dexion,,,2023,1,OK,Baik
335,Anasthesi Ventilator,AMS 200,,,,1,OK,Rusak
336,Barkery Warming Center,,,,2011,,OK,Rusak
337,DC-Shock,,,,,,OK,Baik
338,Electrosurgery Unit,KLS Marin Maxium,Maxium,ME402mo6031030M,,2,OK,Baik
339,Lampu Operasi,Ignis 160,,,2023,1,OK,Baik
340,Lampu Operasi,Octis 70,,,,1,OK,Baik
341,Lampu Operasi,KLS Martin,,,,1,OK,Baik
342,Lampu Operasi,Surgiris,,,,1,OK,Rusak Digudang
343,Lampu Operasi Portable,,,,2018,1,OK,Baik
344,Laringoscope,Glide Scope,,,2010,1,OK,TIDAK DI KALIBRASI
345,Meja Instrument,,,,,3,OK,TIDAK DI KALIBRASI
346,Meja Mayo,,,,,3,OK,TIDAK DI KALIBRASI
347,Meja Operasi,AFA,AT-900,12188954,2022,1,OK,TIDAK DI KALIBRASI
348,Meja Operasi,Saturn,,,2011,1,OK,TIDAK DI KALIBRASI
349,Meja Operasi,Famed Zywelc,,,,1,OK,TIDAK DI KALIBRASI
350,Meja Operasi,MA,52501,,,1,OK,TIDAK DI KALIBRASI
351,Mesin Cuci Tangan Steril,,,,2008,1,OK,TIDAK DI KALIBRASI
352,Monitor,Innocore T12,,,2022,1,OK,Baik
353,Monitor,Innocore T12,,,2022,1,OK,Baik
354,Operation Microscope,Shin-nippon,OP-2,Oct-15,,1,OK,Baik
355,Standart Infus,,,,,4,OK,TIDAK DI KALIBRASI
356,Standart Infus,,,,,2,OK,TIDAK DI KALIBRASI
357,Strecher,,,,2008,1,OK,TIDAK DI KALIBRASI
358,Suction,AFA,AC-500,90/235,,2,OK,Baik
359,Suction,,,,,1,OK,Baik
360,Suction,,,,,1,OK,Baik
361,Tensi Bediri,Regal,,,,1,OK,Baik
362,Tensi Berdiri,Gudescope,,,2010,1,OK,Baik
363,Tourniquet pressure,,,,,1,OK,TIDAK DI KALIBRASI
364,X-Ray Viewer,Tesena,TSN 014D,463/1/11 T 014 D,,2,OK,Baik
365,X-RAY Viewer,KA Rixa,,,,2,OK,Dipindahkan Ke IPSRS
366,Stetoscope,,,,,1,Poli Anak,TIDAK DI KALIBRASI
367,Timbangan Bayi,,,,,1,Poli Anak,TIDAK DI KALIBRASI
368,Timbangan Anak,,,,,2,POLI ANAK,BAIK
369,Tensi Dewasa,,,,,1,POLI ANAK,BAIK
370,Oxy Metry,,,,,,POLI ANAK,BAIK
371,Tensi Anak,,,,,1,POLI ANAK ,BAIK
372,Examination Lamp,Famed,Diagnostoc Lamp Solis 30F,20220344,2023,1,Poli Bedah,BAIK
373,Suction,SANI,,,,1,Poli Bedah,
374,Tensi Meter Digital,Omron,Omron Health  Care,07006320LF,,1,Poli Bedah,
375,Dental Unit,Clesta,Belmont,AV12J0479,,1,Poli gigi,BAIK
376,Sterilisator,Corona,ZTP80A,,2025,1,Poli gigi,BAIK
377,Tensi Meter,Omron,Omron health Care,07006401LH,,1,Poli gigi,RUSAK
378,EKG,Innomed,HS 112C-1,20239321,,1,Poli Jantung,BAIK
379,Saturasi,OneMed,IPX2,,,1,Poli Jantung,BAIK
380,Tensi Meter Digital,Omron,Omron Health Care,07006320LF,,1,Poli Jantung,BAIK
381,Bed Elektrik,Famed,,,,1,Poli Kebidanan,TIDAK DI KALIBRASI
382,Bedgin,,,,,1,Poli Kebidanan,TIDAK DI KALIBRASI
383,CTG,Edan,Edan/F9 Express,314026-M12802560007,,1,Poli Kebidanan,Baik
384,Tensi Meter,Omron,Omron health Care,070064061LH,,1,Poli Kebidanan,Baik
385,USG,Mindray,Mindray,QE2400064,,1,Poli Kebidanan,Baik
386,Autorefkeratometer,Shin-nippon,Accuref.k 9001,33HA6419,,1,Poli Mata,BAIK
387,Chart Projector,Shin-nippon,CP-30,,,,Poli Mata,BAIK
388,Slit Lamp,Shin-nippon,SL-102,,,1,Poli Mata,BAIK
389,Tonometer,Shin-nippon,NCT.10,22460917,,1,Poli Mata,BAIK
390,Film Viewer,Tesena,,,,2,Poli Penyakit Dalam,BAIK
391,Printer USG,Sony,UPP 110,,,1,Poli Penyakit Dalam,BAIK
392,USG,Patsamed,560476,PMXL 823811720001,,1,Poli Penyakit Dalam,BAIK
393,Alat CT-Scan,Siemens Somatom Perspective,M-CT-172,644501871,2019,1,Radiologi,RUSAK
394,Autometic Processing,Carestream Medical Xray,Prossesor 2000,11961-17107-0848,2018,1,Radiologi,Rusak
395,Mobile Xray,Siemens Polymobil Plus,,,,1,Radiologi,Baik
396,Panoramic,Carestream CS 8100SC (Toshiba),CS 8100SC,31487,2019,1,Radiologi,Baik
397,Portable Xray,,,,,1,Radiologi,Baik
398,Printer Puji ,,,,,1,Radiologi,Baik 
399,Printer Puji ,,,,,1,Radiologi,Rusak
400,USG,GE,Logiq E,120516 WXO,2009,1,Radiologi,Baik
401,USG,PATSAMED,PM-XL8,PMXL823811720002,-,1,Radiologi,Baik
402,X-ray Konvensional,WON,WSR 40 Plus,WIV 23 CO 3001,2023,1,Radiologi,Baik
403,Meadent-Pakistan,,,,2022,1,THT,BAIK
404,Medical Head Lamp,Bistos,BT-410,SN ECN40608,,1,THT,BAIK
405,Tensi Meter Digital,Omron,HBT-9030,07006313LF,2023,1,THT,BAIK
406,THT,Stardy,,802,,1,THT,BAIK
407,BLOOD BAG TUBE SEALER,DOCON SEALM,-,-,2023,1,UTD,BAIK
408,BLOOD BANK,KIRSCH,BL-300,280 09 20031,-,1,UTD,BAIK
409,BLOOD BANK,SANYO,MBR-107 D(H),60814446,-,1,UTD,BAIK
410,CENTRIFUGE,HETTICH,EBA20,0127406-7,-,1,UTD,BAIK
411,ELEKTRIK BALANCE,COMPOGUARD,-,-,-,1,UTD,TIDAK BISA DIGUNAKAN
412,INKUBATOR,MEMMERT,UNB400,C413.0630,-,1,UTD,TIDAK BISA DIGUNAKAN
413,KULKAS REAGEN DAN FREEZER,DOMESTIK,MD360CS,2470074,    -,1,UTD,BAIK
414,KURSI DONOR DARAH,,,,2016,2,UTD,BAIK
415,MICROSCOPE,REX VISION,Y100,220,-,1,UTD,BAIK
416,MIKROPIPET,THERMO,-,-,-,4,UTD,BAIK
417,PLASMA EXTRACTOR,FRESENIUS KABI,-,-,-,1,UTD,BAIK
418,PLASMA EXTRACTOR ,BAXTER,T,-,-,1,UTD,BAIK
419,PLATELET AGITATOR,FRESENIUS GABI,-,-,-,1,UTD,BAIK
420,TEMPERATURE SUHU,ONE HEALTH MEDICAL,CLOCK/HUMIDITY HTC-2,,2023,2,UTD,BAIK
421,TENSI DIGITAL,OMRON,-,-,2023,2,UTD,BAIK
422,TENSI JARUM,ONEMED,-,-,-,4,UTD,BAIK
423,TIMBANGAN BADAN DIGITAL,KRIS,-,-,2018,2,UTD,BAIK
424,TIMBANGAN BADAN DIGITAL,KRIS,,,2018,2,UTD,BAIK
425,TIMBANGAN BADAN MANUAL,LAICA,-,-,2016,1,UTD,BAIK
426,WATERBATH,NUVE,NB20,"22,286",-,1,UTD,BAIK
427,Bed Manual,Paramount,PA59815-0608L,,,9,VK,TIDAK DI KALIBRASI
428,Bedgyn Digital,MAK,Digital Gynecologi Bed,,2018,1,VK,TIDAK DI KALIBRASI
429,Bedgyn Digital,Nuritek Indonesia,"Linak HBW 0 73-006, Hospital Bed Multipose",23150103703001,2023,1,VK,TIDAK DI KALIBRASI
430,Bedgyn manual,,,,,2,VK,TIDAK DI KALIBRASI
431,CTG,,,,,1,VK,BAIK
432,Curatage set,,,,,2,VK,TIDAK DI KALIBRASI
433,Digital Paramount,Paramount Bed,,,,2,VK,TIDAK DI KALIBRASI
434,Dopler,MED Gyn,3.0 Mhz Waterproof IPX8,H17A004702587,,1,VK,Kabel dople banyak rusak
435,Dopler,Terravizion by IMN,,ASo 0001230004,,,VK,Di IPSRS
436,Dopler,INCREAMED,,IN.2412205002,,1,VK,Baik
437,EKG,INNOMED Heartscreen,HS112C-1,22239247,2023,1,VK,BAIK
438,Forcep,,,,,1,VK,TIDAK DI KALIBRASI
439,GV Set,,,,,1,VK,TIDAK DI KALIBRASI
440,Infus Pump,B Braun Infusmat Scape,8713070,,2013,1,VK,Error 
441,Infuse pump,Precisionmed,,11.32.00.07.03.2023.05.19,,1,VK,Baik
442,Intubasi set,Greatcare,Silicone manual rersuscitator,,2023,2,VK,TIDAK DI KALIBRASI
443,Intubasi Set,Blue Cross Silicone Resustators,,,2018,2,VK,TIDAK DI KALIBRASI
444,Lampu Rontgen,KA Rixa,,,,1,VK,Lampu Mati
445,Lampu Sorot,Famed,BH-132,20050385,,1,VK,TIDAK DI KALIBRASI
446,Lampu sorot,Dyna Lighting DNA 100 LED,,,,1,VK,TIDAK DI KALIBRASI
447,Monitor Lengkap,Medical Equitment and laboratory supplier,Dexion Patient Monitor Storm 5900,50922055192,2023,1,VK,Tidak lengkap kabel TD
448,Partus Set,,,,,3,VK,Baik
449,Saturasi Digital,Bionet,OXY 9 wave pulse oxymeter ,ii.32.00.07.03.2025.05.19,2023,1,VK,Baik
450,Sterilitator Kering,Fortune Light Wave Medical Sterilizer,,ZTP78E,2016,1,VK,Tidak dapat digunakan
451,Stetoskop,Smartcare original,,,,1,VK,Rusak
452,Stetoskop,Merk tidak terbaca,,,,1,VK,Rusak
453,Suction Unit,saNi Electric Suction Units,703A,,2023,2,VK,baik
454,Syringe pump,precisionmed,,11.32.00.07.03.2023.05.19,,1,VK,Baik
455,Tensi meter,ABN Regal Clock Aneroid,,,2020,2,VK,Baik
456,Termometer Digital,Onehealth,,,,1,VK,Baik
457,Terumol Besar,,,,,2,VK,TIDAK DI KALIBRASI
458,Terumol Kecil,,,,,1,VK,TIDAK DI KALIBRASI
459,Tiang infus,MAK,,,2018,10,VK,TIDAK DI KALIBRASI
460,Timbangan Bayi digital,,,,,1,VK,TIDAK DI KALIBRASI
461,Troli com,MAK,36302,,,1,VK,TIDAK DI KALIBRASI
462,Troli Dorong,KA Rixa,KA016-00BSS,,,1,VK,TIDAK DI KALIBRASI
463,Troly Dorong Pakai Laci,MAK,35102,2530807,2008,1,VK,TIDAK DI KALIBRASI
464,Troly Emergency,MAK,36603,130900005,2013,1,VK,TIDAK DI KALIBRASI
461,Vacum Plastik,,,,,1,VK,TIDAK DI KALIBRASI
