Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,,Tensi Meter,,DM-500,151006152,2018,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
,,Tensi Meter Digital,Jziki,,2020 10052740,2025,1,,,Irna Penyakit Dalam,,BAIK,,TIDAK TERDATA,False,Hibah Dian Juni Eka
,,Tensi Meter Digital,Fora P60,,0471989-3235142,2025,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Thermometer,HuBDic,FS-300,Y432406,2018,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
,,Thermometer,OneHealt,Infrared Forehead,XC22103106940,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Timbangan,Seca,,7621019008,2017,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Trolly Emergency,Mak,36603,,2011,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Trolly Tindakan,,,,,3,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Ambu Bag,Ambu,-,-,,1,,,Irna Perinatology,,BAIK,,,False,
,,Ambu Bag,Greatcare,,,,3,,,Irna Perinatology,,,,,False,
,,Ambu Bag warna biru,,-,-,-,1,,,Irna Perinatology,,,,,False,
,,Ambu Bag warna hitam,,-,-,-,1,,,Irna Perinatology,,,,,False,
,,Bed dengan Bedrails,Paramount,-,-,,3,,,Irna Perinatology,,,,,False,
,,Bedside Cabinet,Paramount/ Tanpa merk,-,-,,,,,Irna Perinatology,,,,,False,
,,Box Bayi,Paramount,-,-,2007,5,,,Irna Perinatology,,,,,False,
,,Box Bayi,Tanpa merk,-,-,-,2,,,Irna Perinatology,,,,,False,
,,Box Bayi,GEA,-,-,-,5,,,Irna Perinatology,,,,,False,
,,CPAP,One Med,AD Series,SN 18037I045,2019,1,,,Irna Perinatology,,,,,False,
,,Fototherapi,Mediled,LED Phototherapy,SN 1861-12,2013,1,,,Irna Perinatology,,,,,False,
,,Fototherapi,Mediled,LED Phototherapy,SN 1856-12,2013,1,,,Irna Perinatology,,,,,False,
,,Fototherapi,Atom,Phototherapy,SN 1692-777,2006,1,,,Irna Perinatology,,,,,False,
,,Fototherapi,Mediled,LED Phototherapy,SN 468-09,2013,1,,,Irna Perinatology,,,,,False,
,,Fototherapi,Medixe,Phototherapy PH1A,SN 40401109140,2009,1,,,Irna Perinatology,,,,,False,
,,Fototherapi,Mediled,Phototherapy PH1A,SN 40401109074,2009,1,,,Irna Perinatology,,,,,False,
,,Gunting perband,-,-,-,,1,,,Irna Perinatology,,,,,False,
,,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4001,2023,1,,,Irna Perinatology,,,,,False,
,,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4002,2023,1,,,Irna Perinatology,,,,,False,
,,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4003,2023,1,,,Irna Perinatology,,,,,False,
,,Incubator,YP 100,YP 100,SN 05094271,2005,1,,,Irna Perinatology,,,,,False,
,,Incubator,YP 100,YP 100,SN 06045020,2006,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,SANI,SN 100/W,SN SANM021-22-133,2022,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,FAZZINI,BN-100A,SN 1190730039,2022,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,ATOM,C20-0304,SN 615652200024,2022,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,ATOM,C20-0304,SN 615652200025,2022,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,Medix,SM 401,SN 1151-05,2008,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,Medix,SM 401,SN 5089-13,2013,1,,,Irna Perinatology,,,,,False,
,,Infant Warmer,Medix,SM 401,SN 5001-13,2013,1,,,Irna Perinatology,,,,,False,
,,Infus Pump,B-Braun,8713070,SN 227241,2013,1,,,Irna Perinatology,,,,,False,
,,Infus Pump,B-Braun,8713070,SN 227252,2013,1,,,Irna Perinatology,,,,,False,
,,Infus Pump,Optima PTIS,Optima PTIS,SN 097390/23495695,2018,1,,,Irna Perinatology,,,,,False,
,,Kasur Matras,-,-,-,,3,,,Irna Perinatology,,,,,False,
,,Korentang,-,-,-,,1,,,Irna Perinatology,,,,,False,
,,Laringoscope set,-,-,-,-,1,,,Irna Perinatology,,,,,False,
,,Monitor Lengkap + EKG,Altus Omni II,-,SN OMNI 209103045,2009,1,,,Irna Perinatology,,,,,False,
,,Monitor Lengkap + EKG,,,,,,,,Irna Perinatology,,,,,False,
,,Neirbekken / Bengkok,-,-,-,,1,,,Irna Perinatology,,,,,False,
,,Neo Transport Incubator,Fanem,ITS 158 TS,SN 3070110074,2012,1,,,Irna Perinatology,,,,,False,
,,Neo Transport Incubator,Medix,TR 200,SN 2111-11,-,1,,,Irna Perinatology,,,,,False,
,,Neo Transport Incubator,Medix,TR 200,SN 2102-11,2017,1,,,Irna Perinatology,,,,,False,
,,Neopuff,Fisher and Paykel,RD900AEU,SN 090901002849,2009,1,,,Irna Perinatology,,,,,False,
,,Pulse Oximetri,One Med,Bionet,SN O2A4ENA0061,2023,1,,,Irna Perinatology,,,,,False,
,,Pulse Oximetri,One Med,Bionet,SN ENAA0038,2023,1,,,Irna Perinatology,,,,,False,
,,Pulse Oximetri + Charger,Advanced,PO-100B,SN 261999-M21902290001,2022,1,,,Irna Perinatology,,,,,False,
,,Regulator O2,-,-,-,,5,,,Irna Perinatology,,,,,False,
,,Regulator oksigen central,RMS,-,-,,5,,,Irna Perinatology,,,,,False,
,,Resusitasi Flow / Neopuff,Resusci Flow,Rail Mounting,SN 220100255,2022,1,,,Irna Perinatology,,,,,False,
,,Stetoscope,Erka,Infant,-,,2,,,Irna Perinatology,,,,,False,
,,Stetoscope,ABN,Infant,-,,1,,,Irna Perinatology,,,,,False,
,,Suction Mobile,Atmos,-,SN 007408006500065,2009,1,,,Irna Perinatology,,,,,False,
,,Suction Pump,Tecno Gaz,Tecno 40,SN B15641008,2008,1,,,Irna Perinatology,,,,,False,
,,Suction Pump,Gabler,FSE 500,SN 7980.05.07,2007,1,,,Irna Perinatology,,,,,False,
,,Suction Pump,Sani,SN703A-D,SN SANM094-23-006,2023,1,,,Irna Perinatology,,,,,False,
,,Syiringe Pump,Fresenius Kabi,Injectomat-Agilia is,SN 018090/20402518,2014,1,,,Irna Perinatology,,,,,False,
,,Termometer Digital,Microlife,Forhead,-,,2,,,Irna Perinatology,,,,,False,
,,Termometer Digital,Microlife,FS 300,-,,1,,,Irna Perinatology,,,,,False,
,,Termometer Manual/ air raksa,Safety,-,-,,1,,,Irna Perinatology,,,,,False,
,,Tiang infus roda,Mak,-,-,,5,,,Irna Perinatology,,,,,False,
,,Timbangan Bayi,Elitech,-,SN TD314BA0828,2018,1,,,Irna Perinatology,,,,,False,
,,Timbangan Bayi,Seca,-,SN 10000000306941,2019,1,,,Irna Perinatology,,,,,False,
,,Timbangan Bayi,Seca,-,SN 3541317009,2011,1,,,Irna Perinatology,,,,,False,
,,Umbilikal Set,-,-,-,,3,,,Irna Perinatology,,,,,False,
,,Centrifuge,Eppendorf,,SN 5702HI945670,-,2,,,Laboratorium,,,,,False,
,,Centrifuge,,,SN 5702HI145631,,,,,Laboratorium,,,,,False,
,,Elektrolit,MK-Cell,,BE060289,,,,,Laboratorium,,,,,False,
,,Hematologi,Swelab Alpa,-,SN-17099,,,,,Laboratorium,,,,,False,
,,Hematologi,Mindray,BC5130,SN TR-43009330,,,,,Laboratorium,,,,,False,
,,Hematologi,Sysmex,XN 330,SN 11855,,,,,Laboratorium,,,,,False,
,,Hemostatis,Solea 100,,SN 0180060D-0006,,,,,Laboratorium,,,,,False,
,,Imunologi,I-Chroma II,,IR2RF114013,,,,,Laboratorium,,,,,False,
,,Kimia Klinik,Mindray,BS230,SN YY-9001408,,,,,Laboratorium,,,,,False,
,,Kimia Klinik,Biosystem,BA 200,SN 832000268,,,,,Laboratorium,,,,,False,
,,Mikro Pipet,,,,,,,,Laboratorium,,,,,False,
,,Mikroskop,Olimpus,,SN N1700500H0280SE,,,,,Laboratorium,,,,,False,
,,POCT,Glukosa,,,,,,,Laboratorium,,,,,False,
,,POCT,I-STAT,,SN(21)420543,,,,,Laboratorium,,,,,False,
,,Rotator,,,,,,,,Laboratorium,,,,,False,
,,Water Bath,,,"SN 03,3217",,,,,Laboratorium,,,,,False,
,,Treadmill,,,,,1,BLUD 2024,414414414.0,MCU,,,,TERDATA,False,
,,Anasthesi Ventilasi,,,,,1,,,OK,,,,,False,
,,Anasthesi Ventilator,GE Datex Ohmeda,s/s,ANBN0134,2010,1,,,OK,,,,,False,
,,Anasthesi Ventilator,Penlon,Prima 400,460/017-0009,2013,1,,,OK,,,,,False,
,,Anasthesi Ventilator,Dexion,,,2023,1,,,OK,,,,,False,
,,Anasthesi Ventilator,AMS 200,,,,1,,,OK,,,,,False,
,,Barkery Warming Center,,,,2011,,,,OK,,,,,False,
,,DC-Shock,,,,,,,,OK,,,,,False,
,,Electrosurgery Unit,KLS Marin Maxium,Maxium,ME402mo6031030M,,2,,,OK,,,,,False,
,,Lampu Operasi,Ignis 160,,,2023,1,,,OK,,,,,False,
,,Lampu Operasi,Octis 70,,,,1,,,OK,,,,,False,
,,Lampu Operasi,KLS Martin,,,,1,,,OK,,,,,False,
,,Lampu Operasi,Surgiris,,,,1,,,OK,,,,,False,
,,Lampu Operasi Portable,,,,2018,1,,,OK,,,,,False,
,,Laringoscope,Glide Scope,,,2010,1,,,OK,,,,,False,
,,Meja Instrument,,,,,3,,,OK,,,,,False,
,,Meja Mayo,,,,,3,,,OK,,,,,False,
,,Meja Operasi,AFA,AT-900,12188954,2022,1,,,OK,,,,,False,
,,Meja Operasi,Saturn,,,2011,1,,,OK,,,,,False,
,,Meja Operasi,Famed Zywelc,,,,1,,,OK,,,,,False,
,,Meja Operasi,MA,52501,,,1,,,OK,,,,,False,
,,Mesin Cuci Tangan Steril,,,,2008,1,,,OK,,,,,False,
,,Monitor,Innocore T12,,,2022,2,,,OK,,,,,False,
,,Monitor,Innocore T12,,,2022,2,,,OK,,,,,False,
,,Operation Microscope,Shin-nippon,OP-2,Oct-15,,1,,,OK,,,,,False,
,,Standart Infus,,,,,4,,,OK,,,,,False,
,,Standart Infus,,,,,2,,,OK,,,,,False,
,,Strecher,,,,2008,1,,,OK,,,,,False,
,,Suction,AFA,AC-500,90/235,,2,,,OK,,,,,False,
,,Suction,,,,,1,,,OK,,,,,False,
,,Suction,,,,,1,,,OK,,,,,False,
,,Tensi Bediri,Regal,,,,1,,,OK,,,,,False,
,,Tensi Berdiri,Gudescope,,,2010,1,,,OK,,,,,False,
,,Tourniquet pressure,,,,,1,,,OK,,,,,False,
,,X-Ray Viewer,Tesena,TSN 014D,463/1/11 T 014 D,,2,,,OK,,,,,False,
,,X-RAY Viewer,KA Rixa,,,,2,,,OK,,,,,False,
,,Stetoscope,,,,,1,,,Poli Anak,,,,,False,
,,Timbangan Bayi,,,,,1,,,Poli Anak,,,,,False,
,,Examination Lamp,Famed,Diagnostoc Lamp Solis 30F,20220344,2023,1,,,Poli Bedah,,,,,False,
,,Suction,SANI,,,,1,,,Poli Bedah,,,,,False,
,,Tensi Meter Digital,Omron,Omron Health Care,07006320LF,,1,,,Poli Bedah,,,,,False,
,,Dental Unit,Clesta,Belmont,AV12J0479,,1,,,Poli gigi,,,,,False,
,,Sterilisator,Corona,ZTP80A,,2025,1,,,Poli gigi,,,,TIDAK TERDATA,True,TIDAK ADA DI REALISASI BLUD MAUPUN AOBD 2024
,,Tensi Meter,Omron,Omron health Care,07006401LH,,1,,,Poli gigi,,,,,False,
,,EKG,Innomed,HS 112C-1,20239321,2023,1,DAK 2023,56000000.0,Poli Jantung,,,,,False,
,,Saturasi,OneMed,IPX2,,,1,,,Poli Jantung,,,,,False,
,,Tensi Meter Digital,Omron,Omron Health Care,07006320LF,,1,,,Poli Jantung,,,,,False,
,,Bed Elektrik,Famed,,,,1,,,Poli Kebidanan,,,,,False,
,,Bedgin,,,,,1,,,Poli Kebidanan,,,,,False,
,,CTG,Edan,Edan/F9 Express,314026-M12802560007,,1,,,Poli Kebidanan,,,,,False,
,,Tensi Meter,Omron,Omron health Care,070064061LH,,1,,,Poli Kebidanan,,,,,False,
,,USG,Mindray,Mindray,QE2400064,,1,,,Poli Kebidanan,,,,,False,
,,Autorefkeratometer,Shin-nippon,Accuref.k 9001,33HA6419,,1,,,Poli Mata,,,,,False,
,,Chart Projector,Shin-nippon,CP-30,,,,,,Poli Mata,,,,,False,
,,Slit Lamp,Shin-nippon,SL-102,,,1,,,Poli Mata,,,,,False,
,,Tonometer,Shin-nippon,NCT.10,22460917,,1,,,Poli Mata,,,,,False,
,,Film Viewer,Tesena,,,,2,,,Poli Penyakit Dalam,,,,,False,
,,Printer USG,Sony,UPP 110,,,1,,,Poli Penyakit Dalam,,,,,False,
,,USG,Patsamed,560476,PMXL 823811720001,,1,,,Poli Penyakit Dalam,,,,,False,
,,Alat CT-Scan,Siemens Somatom Perspective,M-CT-172,644501871,2019,1,,,Radiologi,,,,,False,
,,Autometic Processing,Carestream Medical Xray,Prossesor 2000,11961-17107-0848,2018,1,,,Radiologi,,,,,False,
,,Mobile Xray,Siemens Polymobil Plus,,,,1,,,Radiologi,,,,,False,
,,Panoramic,Carestream CS 8100SC (Toshiba),CS 8100SC,31487,2019,1,,,Radiologi,,,,,False,
,,Portable Xray,,,,,1,,,Radiologi,,,,,False,
,,Printer Puji,,,,,1,,,Radiologi,,,,,False,
,,Printer Puji,,,,,1,,,Radiologi,,,,,False,
,,USG,GE,Logiq E,120516 WXO,2009,1,,,Radiologi,,,,,False,
,,USG,PATSAMED,PM-XL8,PMXL823811720002,-,1,,,Radiologi,,,,,False,
,,X-ray Konvensional,WON,WSR 40 Plus,WIV 23 CO 3001,2023,1,DAK 2023,2250000000.0,Radiologi,,,,TERDATA,False,
,,Xray Portable,Fuji Film,FDR X-AIR,,2024,1,HIBAH APBN 2024,1310000000.0,Radiologi,,BAIK,,TERDATA,False,
,,Xray Mobile,Sitec,,,2024,1,APBD 2024,450000000.0,Radiologi,,BAIK,,TERDATA,False,
,,Meadent-Pakistan,,,,2022,1,,,THT,,,,,False,
,,Medical Head Lamp,Bistos,BT-410,SN ECN40608,,1,,,THT,,,,,False,
,,Tensi Meter Digital,Omron,HBT-9030,07006313LF,2023,1,,,THT,,,,,False,
,,THT,Stardy,,802,,1,,,THT,,,,,False,
,,BLOOD BAG TUBE SEALER,DOCON SEALM,-,-,2023,1,,,UTD,,,,,False,
,,BLOOD BANK,KIRSCH,BL-300,280 09 20031,-,1,,,UTD,,,,,False,
,,BLOOD BANK,SANYO,MBR-107 D(H),60814446,-,1,,,UTD,,,,,False,
,,CENTRIFUGE,HETTICH,EBA20,0127406-7,-,1,,,UTD,,,,,False,
,,ELEKTRIK BALANCE,COMPOGUARD,-,-,-,1,,,UTD,,,,,False,
,,INKUBATOR,MEMMERT,UNB400,C413.0630,-,1,,,UTD,,,,,False,
,,KULKAS REAGEN DAN FREEZER,DOMESTIK,MD360CS,2470074,-,1,,,UTD,,,,,False,
,,KURSI DONOR DARAH,,,,2016,2,,,UTD,,,,,False,
,,MICROSCOPE,REX VISION,Y100,220,-,1,,,UTD,,,,,False,
,,MIKROPIPET,THERMO,-,-,-,4,,,UTD,,,,,False,
,,PLASMA EXTRACTOR,FRESENIUS KABI,-,-,-,1,,,UTD,,,,,False,
,,PLASMA EXTRACTOR,BAXTER,T,-,-,1,,,UTD,,,,,False,
,,PLATELET AGITATOR,FRESENIUS GABI,-,-,-,1,,,UTD,,,,,False,
,,TEMPERATURE SUHU,ONE HEALTH MEDICAL,CLOCK/HUMIDITY HTC-2,,2023,2,,,UTD,,,,,False,
,,TENSI DIGITAL,OMRON,-,-,2023,2,,,UTD,,,,,False,
,,TENSI JARUM,ONEMED,-,-,-,4,,,UTD,,,,,False,
,,TIMBANGAN BADAN DIGITAL,KRIS,-,-,2018,2,,,UTD,,,,,False,
,,TIMBANGAN BADAN DIGITAL,KRIS,,,2018,2,,,UTD,,,,,False,
,,TIMBANGAN BADAN MANUAL,LAICA,-,-,2016,1,,,UTD,,,,,False,
,,WATERBATH,NUVE,NB20,22.286,-,1,,,UTD,,,,,False,
,,Bed Manual,Paramount,PA59815-0608L,,,9,,,VK,,,,,False,
,,Bedgyn Digital,MAK,Digital Gynecologi Bed,,2018,1,,,VK,,,,,False,
,,Bedgyn Digital,Nuritek Indonesia,"Linak HBW 0 73-006, Hospital Bed Multipose",2315010000000000000,2023,1,DAK 2023,96100000.0,VK,,,,TERDATA,False,
,,Bedgyn manual,,,,,2,,,VK,,,,,False,
,,COM,,,,,3,,,VK,,,,,False,
,,Curatage set,,,,,2,,,VK,,,,,False,
,,Digital Paramount,Paramount Bed,,,,2,,,VK,,,,,False,
,,Dopler,MED Gyn,3.0 Mhz Waterproof IPX8,H17A004702587,,1,,,VK,,,,,False,
,,Dopler,Terravizion by IMN,,ASo 0001230004,,,,,VK,,,,,False,
,,Dopler,INCREAMED,,IN.2412205002,,1,,,VK,,,,,False,
,,EKG,INNOMED Heartscreen,HS112C-1,22239247,2023,1,DAK 2023,56000000.0,VK,,,,TERDATA,False,
,,Forcep,,,,,1,,,VK,,,,,False,
,,GV Set,,,,,1,,,VK,,,,,False,
,,Infus Pump,B Braun Infusmat Scape,8713070,,2013,1,,,VK,,,,,False,
,,Infuse pump,Precisionmed,,11.32.00.07.03.2023.05.19,,1,,,VK,,,,,False,
??,,Intubasi set,Greatcare,Silicone manual rersuscitator,,2023,2,,,VK,,,,,False,
,,Intubasi Set,Blue Cross Silicone Resustators,,,2018,2,,,VK,,,,,False,
,,Lampu Rontgen,KA Rixa,,,,1,,,VK,,,,,False,
,,Lampu Sorot,Famed,BH-132,20050385,,1,,,VK,,,,,False,
,,Lampu sorot,Dyna Lighting DNA 100 LED,,,,1,,,VK,,,,,False,
,,Monitor Lengkap,Medical Equitment and laboratory supplier,Dexion Patient Monitor Storm 5900,50922055192,2023,1,DAK 2023,105896000.0,VK,,,,TERDATA,False,
,,Partus Set,,,,,3,,,VK,,,,,False,
,,Saturasi Digital,Bionet,OXY 9 wave pulse oxymeter,ii.32.00.07.03.2025.05.19,2023,1,APBD 2023,8258832.0,VK,,,,TERDATA,False,
,,Sterilitator Kering,Fortune Light Wave Medical Sterilizer,,ZTP78E,2016,1,,,VK,,,,,False,
,,Stetoskop,Smartcare original,,,,1,,,VK,,,,,False,
,,Stetoskop,Merk tidak terbaca,,,,1,,,VK,,,,,False,
,,Suction Unit,saNi Electric Suction Units,703A,,2023,1,DAK 2023,34894500.0,VK,,,,TERDATA,False,
,,Syringe pump,precisionmed,,11.32.00.07.03.2023.05.19,,1,,,VK,,,,,False,
,,Tensi meter,ABN Regal Clock Aneroid,,,2020,2,,,VK,,,,,False,
,,Termometer Digital,Onehealth,,,,1,,,VK,,,,,False,
,,Terumol Besar,,,,,2,,,VK,,,,,False,
,,Terumol Kecil,,,,,1,,,VK,,,,,False,
,,Tiang infus,MAK,,,2018,10,,,VK,,,,,False,
,,Timbangan Bayi digital,,,,,1,,,VK,,,,,False,
,,Troli com,MAK,36302,,,1,,,VK,,,,,False,
,,Troli Dorong,KA Rixa,KA016-00BSS,,,1,,,VK,,,,,False,
,,Troly Dorong Pakai Laci,MAK,35102,2530807,2008,1,,,VK,,,,,False,
,,Troly Emergency,MAK,36603,130900005,2013,1,,,VK,,,,,False,
