No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
218,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
219,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
220,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
221,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
222,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
223,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
224,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
225,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
226,Bed Dewasa,Paramount,Oxy 9 Wave,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
227,Bed Dewasa,Paramount,Oxy 9 Wave,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
228,Bed Dewasa,Paramount,Oxy 9 Wave,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
229,Bed Dewasa,Paramount,Oxy 9 Wave,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
230,Bed Dewasa,Paramount,Oxy 9 Wave,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
231,Bedside Cabinet,Paramount,11.82.00.07.03.1022.0809,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
232,Electric suction,SANI ASPIMED,,11.3200070320130829-1,2023,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
233,Electric suction,SANI ASPIMED,,11.3200070320130829-2,2023,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
234,Infus Pump,B Braun,Innocare-T12,-  024043200355235-1,2013,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
235,Infus Pump,B Braun,Innocare-T12,-  024043200355235-2,2013,Irna Anak,Irna Anak,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
236,Infus Pump,Frensius Kobi,BeneHeart-12A,24043200325235000-1,2013,Irna Anak,Irna Anak,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
237,Infus Pump,Frensius Kobi,BeneHeart-12A,24043200325235000-2,2013,Irna Anak,Irna Anak,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
238,Monitor lengkap,Dixion,Stroom 5900-05,02.08.0101.05.009-1,2023,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
239,Monitor lengkap,Dixion,Stroom 5900-05,02.08.0101.05.009-2,2023,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
240,Nebulizer,OMRON,SN703A-D,23495783,2018,Irna Anak,IPSRS,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,Error
241,Nebulizer,OMRON,SN703A-D,20121100022AF,2013,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
242,Oksigen Konsentrat,YUWELL,,,2020,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
243,Pulse oximeter,Bionet,Stroom 5900-05,11.32.00.07.03.2023.05.30-1,2023,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
244,Pulse oximeter,Bionet,Stroom 5900-05,11.32.00.07.03.2023.05.30-2,2023,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
245,Regulator O2,-,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
246,Regulator O2,-,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
247,Regulator O2,-,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
248,Regulator O2,-,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
249,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
250,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
251,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
252,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
253,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
254,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
255,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
256,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
257,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
258,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
259,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
260,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
261,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
262,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
263,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
264,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
265,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
266,Regulator oksigen central,RMS,Optima PT,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
267,Sekerem,-,NE U 17,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
268,Sekerem,-,NE U 17,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
269,Syringe Pump,B Braun,Innocare-T12,24043200323235,2013,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
270,Tensimeter automatic,YUWELL,Stroom 5900-05,11.32.0007.03.1022.08.09-1,2023,Irna Anak,Irna Anak,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Kurang Baik
271,Tensimeter automatic,YUWELL,Stroom 5900-05,11.32.0007.03.1022.08.09-2,2023,Irna Anak,Irna Anak,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Kurang Baik
272,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
273,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
274,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
275,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
276,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
277,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
278,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
279,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
280,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
281,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
282,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
283,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
284,Timbangan Berat Badan Dewasa,TESENA,Ne – C 900,-,2018,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
285,Trolly emergency,Mak,Phlegm Suction 7E-A,208011047002,2013,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
286,Alat pengukur gula darah,Gluco Dr.,AGM-4000,❖    SANM094-23-014,2020,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
287,Ambu Bag,Ambu,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
288,Ambu Bag,Greatcar,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
289,Ambu Bag,Greatcar,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
290,Ambu Bag,Greatcar,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
291,Ambu Bag,Greatcar,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
292,Baskom Stainles,-,,,2018,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
293,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
294,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
295,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
296,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
297,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
298,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
299,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
300,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
301,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
302,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
303,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
304,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
305,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
306,Bed dengan Bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
307,Bed Tanpa bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
308,Bed Tanpa bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
309,Bed Tanpa bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
310,Bed Tanpa bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
311,Bed Tanpa bedrails,Paramount,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
312,Bedside Cabinet,Paramount/ Tanpa merk,,,2019,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
313,Defibrilator,Cmos drake,Life400plus futura,,2018,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
314,Electric suction,SANI,Electric Suction Apparatus SN 703A-,918038848-1,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
315,Electric suction,SANI,Electric Suction Apparatus SN 703A-,918038848-2,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
316,Emergency kit,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
317,Gunting perband,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
318,Infrared Forehead,Onehealth,YHW-S,2016.07.EA16GC00113,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
319,Infus Pump,Precionmed,Accu Drip 10,❖    SANM094-23-002,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
320,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
321,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
322,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
323,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
324,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
325,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
326,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
327,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
328,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
329,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
330,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
331,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
332,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
333,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
334,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
335,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
336,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
337,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
338,Kasur Matras,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
339,Meja mayo/ Meja tindakan,Top,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
340,Meja mayo/ Meja tindakan,Top,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
341,Mesin EKG 12 Lead,Heartscreen,Heart Screen 112,22239244,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
342,"Minor Set GV terdiri dari (Gunting jaringan, pinset anatomi, pinset",-,,"Medicom, Hebu, Inox, BJB Unicef, Lawton",2018,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
343,Monitor lengkap,Dixion,1 Storm 5900-05,❖    05/09/2205/5200-1,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
344,Monitor lengkap,Dixion,1 Storm 5900-05,❖    05/09/2205/5200-2,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
345,Mortir/Lumpang Obat,-,,,2022,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
346,Neirbekken / Bengkok,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
347,Pispot stainles,-,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
348,Pulse oximeter,Bionet,Oxy 9 Wave,❖    05/09/2205/5186-1,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
349,Pulse oximeter,Bionet,Oxy 9 Wave,❖    05/09/2205/5186-2,2023,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
350,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
351,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
352,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
353,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
354,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
355,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
356,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
357,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
358,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
359,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
360,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
361,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
362,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
363,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
364,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
365,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
366,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
367,Regulator oksigen central,RMS,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
368,Sekerem,,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
369,Sekerem,,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
370,Stetoskop dewasa,GEA,-,AD 000 123 0061-1,2017,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
371,Stetoskop dewasa,GEA,-,AD 000 123 0061-2,2017,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
372,Tensimeter automatic dewasa,Confort fora,P60,11.32.00.07.03.2023.05.3,2025,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
373,Termometer Digital,HuBDIC,FS-300,-,,Irna Bedah,Irna Bedah,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
374,Termometer Manual,Hexacare,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
375,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
376,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
377,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
378,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
379,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
380,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
381,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
382,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
383,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
384,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
385,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
386,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
387,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
388,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
389,Tiang infus roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
390,Tiang infus tanpa roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
391,Tiang infus tanpa roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
392,Tiang infus tanpa roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
393,Tiang infus tanpa roda,Mak,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
394,Timbangan Berat Badan,Laica,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
395,Torniquet,-,,,2019,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
396,Torniquet,-,,,2019,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
397,Trolly emergency,Mak,,C413.0630,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
398,Trolly Tindakan ( GV),Mak,-,-,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
399,Tromol kecil,Health,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
400,Tromol sedang,Cremona,,,2019,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
401,Urinal stainles / plastik,,,,,Irna Bedah,Irna Bedah,Baik,BELUM DIKALIBRASI,Belum ada data,
402,Alat GDS,"Gluco Dr.Auto""A",ACM-4000,GC21AA02027,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
403,Ambu Bag,Ambu,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
404,Ambu Bag,Ambu,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
405,Ambu Bag - Adult,GreatCare,,GCR/03/01,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
406,Ambu Bag - Infant,GreatCare,,GCR/03/05,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
407,Ambu Bag - Paediatrk,GreatCare,,GCR/03/03,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
408,Defibrilator/DC Shock,Inomed,Kardio AID 200B,16206447,2017,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
409,EKG,Mindray,BeneHeart-12A,FX 17003815,2021,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
410,Film Vewer,,,,,Irna Penyakit Dalam,Nursestation LT4,Baik,BELUM DIKALIBRASI,Belum ada data,
411,Infuse Pump,Precisionemed IMN,Accu Drip 10,AD 001230070,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
412,Infuse Pump,Precisionemed IMN,Accu Drip 10,AD 001230062,2023,Irna Penyakit Dalam,IPSRS,Baik,BELUM DIKALIBRASI,Belum ada data,
413,Infuse Pump,Presenius Kabi,Optima PT IS,027390/23495781,2018,Irna Penyakit Dalam,IPSRS,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
414,Infuse Pump,Presenius Kabi,Optima PT IS,027390/23495699,2018,Irna Penyakit Dalam,Ruang Isolasi,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
415,Infuse Pump,Mindray,Benefusion VP5 X,SK 10308913,2021,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Hilang cantolan
416,Infuse Pump,,,19328898,,Irna Penyakit Dalam,IPSRS,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
417,Infuse Pump,,,19328897,,Irna Penyakit Dalam,IPSRS,Baik,BELUM DIKALIBRASI,Belum ada data,
418,Infuse Pump,Mindray,Benefusion VP5X,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
419,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
420,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
421,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
422,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
423,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
424,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
